"Player","VORP","Rank","RanksRF_Rank","StatsRF_Rank"
"Anthony Davis",16.3,1,1,1
"Jae Crowder",6.6,45,16,5
"Dion Waiters",-1.5,7,12,21
"Draymond Green",15,26,8,4
"Bradley Beal",4.7,3,4,6
"Jeremy Lamb",0.6,13,10,15
"Terrence Ross",2.3,14,26,43
"Jared Sullinger",4.1,20,5,3
"Terrence Jones",3.1,17,11,14
"Robbie Hummel",-0.3,56,44,36
"Thomas Robinson",-1.2,2,3,13
"Michael Kidd-Gilchrist",1.3,4,2,2
"John Jenkins",-0.7,32,40,40
"Maurice Harkless",2.6,19,6,8
"Will Barton",1.1,29,9,9
"Khris Middleton",4.1,49,32,11
"Doron Lamb",-1.2,36,34,24
"Harrison Barnes",3.1,5,18,20
"Bernard James",0.2,33,35,42
"Kendall Marshall",-2.8,16,22,30
"John Henson",3.5,11,20,25
"Andre Drummond",7.2,9,7,10
"Quincy Miller",-0.5,31,28,16
"Royce White",0,21,21,18
"Tyler Zeller",0.8,10,31,47
"Damian Lillard",16.5,6,14,27
"Perry Jones",-1.1,18,13,17
"Austin Rivers",-2.1,8,24,38
"Tyshawn Taylor",-0.8,35,42,26
"Quincy Acy",0.5,37,39,31
"Kris Joseph",-0.1,57,23,12
"Darius Miller",-0.2,39,47,37
"Arnett Moultrie",-0.2,15,15,28
"Kim English",-0.2,38,43,33
"Darius Johnson-Odom",-0.1,50,33,39
"Marquis Teague",-1.3,25,29,19
"Jeff Taylor",-1.2,28,30,22
"Fab Melo",0,24,25,29
"Mike Scott",-0.4,47,45,45
"Andrew Nicholson",-3.2,22,27,41
"Miles Plumlee",0.6,34,38,32
"Jared Cunningham",-0.6,42,37,23
"Tony Wroten",-1.6,30,17,7
"Meyers Leonard",-0.1,12,19,35
"Orlando Johnson",-0.5,41,46,44
"Kyle O'Quinn",2.7,44,41,34
"Festus Ezeli",0.6,27,36,46
"Kevin Murphy",-0.2,52,48,48
